Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абагаева,Евгения,жен,45,177,Калининград,бухгалтер,70000,нет
Абальмасов,Михаил,муж,25,184,Мурманск,конструктор,800000,да
Абаносимова,Юлия,жен,26,168,Санкт-Петербург,конструктор,20000,нет
Абаркина,Юлия,жен,36,163,Москва,инженер,350000,да
Абашева,Марина,жен,39,173,Санкт-Петербург,руководитель группы,500000,нет
Аббакумова,Мария,жен,35,160,Москва,руководитель группы,700000,нет
Абдразяков,Андрей,муж,59,156,Владимир,инженер,40000,нет
Абдулвагапов,Антон,муж,27,181,Владимир,бухгалтер,80000,нет
Абдулгапуров,Пётр,муж,54,173,Казань,руководитель группы,300000,да
Абдулкиримов,Максим,муж,24,156,Москва,конструктор,100000,да
Абдулмянов,Михаил,муж,47,188,Ачинск,директор предприятия,800000,нет
Абдуназаров,Пётр,муж,25,162,Омск,инженер,20000,нет
Абдухаликов,Сергей,муж,36,177,Уфа,бухгалтер,900000,нет
Абдюкова,Юлия,жен,47,159,Калининград,руководитель группы,100000,нет
Абертасова,Марина,жен,36,170,Ачинск,директор предприятия,600000,да
Абзалдинов,Василий,муж,53,161,Москва,учитель,35000,нет
Абишлаева,Анастасия,жен,31,172,Уфа,директор предприятия,250000,нет
Аблисимов,Никита,муж,49,173,Ачинск,конструктор,250000,нет
Абозина,Дарья,жен,30,166,Владимир,кондитер,60000,да
Абоимова,Анна,жен,25,180,Владимир,учитель,25000,нет
Абольников,Максим,муж,30,174,Москва,инженер,30000,нет
Абражаева,Евгения,жен,39,180,Омск,кондитер,500000,да
Абрамова-извекова,Кристина,жен,22,159,Москва,учитель,40000,да
Абрамычева,Диана,жен,55,180,Владимир,директор предприятия,70000,да
Абратанова,Кристина,жен,37,156,Владимир,руководитель группы,30000,да
Абрезков,Андрей,муж,52,189,Казань,инженер,50000,нет
Абросова,Ольга,жен,45,157,Рязань,руководитель группы,350000,да
Абряндина,Ольга,жен,50,157,Москва,конструктор,150000,да
Абселямов,Сергей,муж,57,181,Москва,учитель,900000,нет
Абубякирова,Дарья,жен,26,182,Ачинск,ведущий инженер,35000,да
